code,count
4IB11,100
4IB21,100
4IB31,100
4IC11,100
4IC21,100
4IC31,100
4JA11,100
4JA21,100
4JA31,100
4JB11,100
4JB21,100
4JB31,100
4JC11,100
4JC21,100
4JC31,100
4KA11,100
4KA21,100
4KA31,100
4KB11,100
4KB21,100
4KB31,100
4KC11,100
4KC21,100
4KC31,100
4LA11,100
4LA21,100
4LA31,100
4LB11,100
4LB21,100
4LB31,100
4LC11,100
4LC21,100
4LC31,100
